Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
153,99.0,33,27,,"Power 575, p6 4.7 GHz, Infiniband",ECMWF,IBM,United Kingdom,2009,Research,8320,0,115900.0,156416.0,74.1,0,0,1329.0,87.21,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Northern Europe,Europe
154,100.0,31,19,,"Power 575, p6 4.7 GHz, Infiniband",ECMWF,IBM,United Kingdom,2008,Research,8320,0,115900.0,156416.0,74.1,0,0,1329.0,87.21,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Northern Europe,Europe
155,,39,155,,"Cluster Platform 3000 BL280c G6, Xeon X5670 6C 2.93GHz, Gigabit Ethernet",Government,Hewlett-Packard,United Kingdom,2012,Government,19536,0,115380.3,228962.0,50.39,0,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
156,212.0,36,146,CSIRO GPU Cluster,"Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050",CSIRO,Xenon Systems,Australia,2010,Government,6786,4914,115100.0,210717.0,54.62,648959,0,,,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Windows HPC 2008,Windows,NVIDIA 2050,8,Intel Xeon E5,Nitro G16 3GPU,Xenon Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
157,256.0,38,256,,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband QDR, NVIDIA 2070",Forschungszentrum Juelich (FZJ),IBM,Germany,2011,Research,8240,5768,114828.91,238482.08,48.15,0,0,128.75,891.88,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,Western Europe,Europe
158,,39,158,MRAP,"Cray XT5 SixCore, Opteron Six Core 6C 2.600GHz, XT4 Internal Interconnect",US Army Research Laboratory (ARL),Cray Inc.,United States,2012,Research,15600,0,114800.0,162240.0,70.76,16662804,0,,,MPP,Opteron Six Core 6C 2.600GHz,AMD x86_64,2600,CNL,Linux,None,6,Opteron Six Core,Cray XT5 SixCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,North America,Americas
160,101.0,33,28,,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",JAXA,Fujitsu,Japan,2009,Research,12032,0,110600.0,121282.0,91.19,3308800,0,1020.0,108.43,Cluster,SPARC64 VII 4C 2.500GHz,Sparc,2500,Open Solaris,Unix,None,4,SPARC64 VII,Fujitsu FX1,Fujitsu Cluster,Infiniband,Infiniband DDR,Eastern Asia,Asia
161,,39,161,Aurora,"Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090",E-Security - Selex Elsag,Eurotech,Italy,2012,Industry,9760,2560,110526.0,206336.0,53.57,467040,0,,,Cluster,Xeon X5690 6C 3.470GHz,Intel Nehalem,3470,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Eurotech Aurora,Eurotech Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
162,102.0,38,102,Curie hybrid,"Bullx B505, Xeon E5640 2.67 GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2011,Research,5040,3920,109900.0,198161.6,55.46,428646,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
163,,39,163,,"HP DL180se, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",Web Company (F),Hewlett-Packard,United States,2012,Industry,20520,0,109594.3,218333.0,50.2,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL180se,HP Cluster,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
164,103.0,34,37,,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",US Army Research Laboratory (ARL),SGI,United States,2009,Research,10752,0,109300.0,120422.4,90.76,1908480,0,475.0,230.11,MPP,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,North America,Americas
165,104.0,35,112,Endeavor,"Intel Cluster, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",Intel,Intel,United States,2011,Industry,5712,0,109200.0,118810.0,91.91,1647576,0,176.4,619.05,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Intel Cluster,Intel Cluster,Infiniband,Infiniband FDR,North America,Americas
