Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
299,MareNostrum,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Barcelona Supercomputing Center,IBM,Spain,2006,Academic,10240,0,63830.0,94208.0,67.75,0,0,,,Cluster,PowerPC 970 2C 2.30GHz,Power,2300,Linux,Linux,None,2,PowerPC 970,BladeCenter JS21 CLuster,IBM BladeCenter,Myrinet,Myrinet,Southern Europe,Europe
326,Ekman,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",KTH - Royal Institute of Technology,Dell,Sweden,2010,Academic,9800,0,61760.0,86024.4,71.79,1450624,0,,,Cluster,Opteron Dual Core 2C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,2,Opteron Dual Core,PowerEdge SC1435,Dell PowerEdge Cluster,Infiniband,Infiniband,Northern Europe,Europe
328,DEGIMA,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Nagasaki University,Self-made,Japan,2011,Academic,9900,9000,61410.0,138930.0,44.2,604800,0,,,Cluster,Core i5 4C 2.93GHz,Intel Core,2930,Linux,Linux,ATI GPU,4,Core i5,DEGIMA Cluster,NOW - Intel,Infiniband,Infiniband QDR,Eastern Asia,Asia
329,Tsessebe,"Blade X6275/ PowerEdge C6100 Cluster, Xeon X5570/X5670/ 4C 2.93 GHz, Infiniband QDR",Centre for High Performance Computing,Dell/Oracle,South Africa,2009,Academic,6336,0,61330.0,74257.92,82.59,0,0,,,Cluster,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,CentOS,Linux,None,4,Xeon X55xx (Nehalem-EP),Blade X6275/ PowerEdge C6100 Cluster,Dell/Sun Cluster,Infiniband,Infiniband QDR,Southern Africa,Africa
356,Yale - Omega,"Cluster Platform 3000 BL460c G6, Xeon X5560 4C 2.80GHz, Infiniband QDR",Yale University,Hewlett-Packard,United States,2010,Academic,5632,0,57800.0,63078.4,91.63,1486952,0,,,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
360,Supernova,"Cluster Platform 3000 BL2x220, X56xx 2.66 Ghz, Infiniband",Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,Poland,2011,Academic,6348,0,57410.0,67542.0,85.0,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband,Eastern Europe,Europe
366,,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Universitaet Erlangen,NEC,Germany,2010,Academic,5880,0,56730.0,62563.0,90.68,0,0,160.0,354.56,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),NEC LX-2400,NEC Cluster,Infiniband,Infiniband,Western Europe,Europe
368,HLRB-II,Altix 4700 1.6 GHz,Leibniz Rechenzentrum,SGI,Germany,2007,Academic,9728,0,56520.0,62259.2,90.78,1583232,0,990.0,57.09,MPP,Itanium2 Montecito Dual Core 2C 1.60GHz,Intel IA-64,1600,SUSE Linux Enterprise Server 10,Linux,None,2,Itanium2 Montecito Dual Core,SGI Altix 4700,SGI Altix,NUMAlink,NUMAlink,Western Europe,Europe
414,SHIROKANE,"SunBlade x6250, Xeon E5450 3GHz, Infiniband","University of Tokyo/Human Genome Center, IMS",Sun Microsystems,Japan,2009,Academic,5760,0,54210.0,69120.0,78.43,786712,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Sun Blade x6250,Sun Blade System,Infiniband,Infiniband DDR,Eastern Asia,Asia
443,Vienna Scientific Cluster,"Sun Blade x2270/Supermicro SC827T-R1400, Xeon X5550 2.66 Ghz, Infiniband QDR",Technische Universitaet Wien,Sun Microsystems,Austria,2011,Academic,5472,0,53070.0,58375.0,90.91,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Cell OS,Unix,None,4,Xeon X55xx (Nehalem-EP),Sun Blade X2270,Sun Blade System,Infiniband,Infiniband,Western Europe,Europe
464,,"Power 575, p6 4.7 GHz, Infiniband",IDRIS,IBM,France,2008,Academic,3584,0,52810.0,67379.2,78.38,0,0,572.0,92.33,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Western Europe,Europe
474,Coates,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",Purdue University,Hewlett-Packard,United States,2010,Academic,7944,0,52192.1,79440.0,65.7,0,0,,,Cluster,Opteron Quad Core 4C 2.50GHz,AMD x86_64,2500,Linux,Linux,None,4,Opteron Quad Core,HP DL165 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,10G Ethernet,North America,Americas
477,Brutus,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",ETH Zuerich,Sun Microsystems,Switzerland,2009,Academic,6464,0,51880.0,64640.0,80.26,1032192,0,152.0,341.32,Cluster,Opteron Quad Core 4C 2.50GHz,AMD x86_64,2500,Linux,Linux,None,4,Opteron Quad Core,Sun Blade x6440,Sun Blade System,Infiniband,Infiniband,Western Europe,Europe
