Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
335,University of Reading,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.5 GHz, Myrinet",United Kingdom,2008,2800,20051.0,28000.0,0,0,0.0,Power,PowerPC 970,2500,IBM Cluster,BladeCenter JS21 CLuster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,Northern Europe,Europe
340,CINECA,IBM,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",Italy,2008,2560,19910.0,30720.0,0,0,244.12,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
341,CINECA,IBM,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",Italy,2008,2560,19910.0,30720.0,0,0,244.12,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
342,National Center for High Performance Computing,IBM,"xSeries x3550 Cluster Xeon, 3 GHz, Infiniband",Taiwan,2007,2080,19910.0,24960.0,0,0,193.44,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,xSeries x3550 Cluster Xeon dual core,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
360,Universität Ulm/ Universität Konstanz,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,2240,19183.3,25356.8,0,0,88.28,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
385,University College London (UCL),ClusterVision/Dell,"PowerEdge 1950, Xeon 51xx 3.06 GHz, Infinipath",United Kingdom,2008,1992,18930.0,24382.0,960120,0,330.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3060,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Research,Infiniband,InfiniPath,Northern Europe,Europe
387,Universitaet Aachen/RWTH,UNICORNER/Fujitsu-Siemens,"PRIMERGY RX200 S4 Cluster, Quad Core 3Ghz, Infiniband, Windows HPC 2008",Germany,2008,2048,18810.0,24576.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Fujitsu Siemens Cluster,PRIMERGY RX200 S4,Windows HPC 2008,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Western Europe,Europe
395,Ecole Polytechnique Federale de Lausanne,IBM,eServer Blue Gene Solution,Switzerland,2005,8192,18665.0,22937.6,442367,0,89.6,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
422,"Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",IBM,"BladeCenter QS22 Cluster, PowerXCell 8i 4.0 Ghz, Infiniband",Poland,2008,2016,18570.0,30464.0,325375,115455,34.63,Power,PowerXCell 8i,4000,IBM Cluster,BladeCenter QS22 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
439,"Supercomputing and Visualization in Paralel Laboratory, Universidad Autonoma Metropolitana",LUFAC Computacion SA de CV,"Lufac Cluster, Intel Xeon E54xx 3.0 Ghz, Infiniband",Mexico,2008,2120,18480.0,25440.0,670720,473600,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Lufac Cluster,Lufac Intel Cluster,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Central America,Americas
442,Johns Hopkins University,IBM,"iDataPlex, Xeon QC 3.0 GHz, Infiniband",United States,2009,2048,18376.3,24576.0,0,0,89.86,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
449,Cambridge University,ClusterVision/Dell,"PowerEdge 1950, 3.0 GHz, Infinipath",United Kingdom,2006,2340,18270.0,28080.0,713000,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Research,Infiniband,InfiniPath,Northern Europe,Europe
480,University of Utah,Sun Microsystems,"SunBlade x2250, Xeon E5420 2.8GHz, InfiniPath",United States,2008,2048,17520.0,23183.0,672000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,Sun Blade System,Sun Blade x2250,Linux,Cluster,Academic,Research,Infiniband,InfiniPath,North America,Americas
486,"HPCCC, Hong Kong Baptist University",Dell,"PowerEdge M600 Cluster, Intel E5430 2.66 Ghz, Infiniband",Hong Kong,2009,2048,17380.0,21790.0,672000,0,73.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,Dell PowerEdge Cluster,PowerEdge M600 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
488,Universitaet Mainz,Hewlett-Packard,"Cluster Platform 3000 DL160, Xeon 54xx 2.8 GHz, Infiniband",Germany,2008,2000,17360.0,22400.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,HP Cluster Platform 3000,HP DL160 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Western Europe,Europe
490,University of Minnesota,SGI,"SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband",United States,2007,2048,17310.0,21791.0,638448,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,SGI Altix,SGI Altix XE 1300,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas
498,University of Southern California,Sun Microsystems,"Opteron, Xeon Cluster, Myrinet",United States,2007,6024,17110.0,23680.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2000,NOW - mixed processors,"Opteron, Xeon Cluster",Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
