Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
145,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480.0,89587.2,1008384,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas
147,Texas Tech University,Dell,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",United States,2010,7524,68270.0,84538.0,1270976,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge R410 Cluster,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
148,"University of California, Los Angeles",Hewlett-Packard,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR",United States,2011,2482,68100.0,160577.0,710393,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL390s G7,Linux,NVIDIA 2070,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
151,UCSD/San Diego Supercomputer Center,Appro International,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",United States,2010,10112,67320.0,99532.8,1200000,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Appro Cluster,Appro Opteron Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
154,University of Southampton,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",United Kingdom,2009,8000,66680.0,72320.0,1610000,0,222.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Windows HPC 2008,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
163,"Gdansk University of Technology, CI Task",ACTION,ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband,Poland,2011,10384,65588.0,97758.0,998000,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,ACTION Cluster,ACTION Cluster,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
166,Leibniz Rechenzentrum,IBM,"BladeCenter HX5, WM Xeon 10-core, 2.4 GHz, Infiniband",Germany,2011,8000,64860.0,76800.0,1099224,0,195.0,Intel EM64T,Intel EM64T Xeon E7-48xx (Westmere-EX),2400,10,IBM BladeCenter,"BladeCenter HX5, WM Xeon 6-core",Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Western Europe,Europe
167,NACAD/COPPE/UFRJ,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Brazil,2009,6464,64630.0,72396.8,1405152,0,430.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,South America,Americas
170,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830.0,94208.0,0,0,0.0,Power,PowerPC 970,2300,2,IBM BladeCenter,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,None,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe
178,KTH - Royal Institute of Technology,Dell,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",Sweden,2010,9800,61760.0,86024.4,1450624,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,2,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
194,Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.66 Ghz, Infiniband",Poland,2011,6348,57410.0,67542.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
196,Universitaet Erlangen,NEC,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Germany,2010,5880,56730.0,62563.0,0,0,160.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,NEC Cluster,NEC LX-2400,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
198,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520.0,62259.2,1583232,0,990.24,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,None,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe
230,"University of Tokyo/Human Genome Center, IMS",Oracle,"SunBlade x6250, Xeon E5450 3GHz, Infiniband",Japan,2009,5760,54210.0,69120.0,786712,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Sun Blade System,Sun Blade x6250,Linux,None,Cluster,Academic,Medicine,Infiniband,Infiniband DDR,Eastern Asia,Asia
250,Technische Universitaet Wien,Oracle,"Sun Blade x2270/Supermicro SC827T-R1400, Xeon X5550 2.66 Ghz, Infiniband QDR",Austria,2011,5472,53070.0,58375.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Sun Blade System,Sun Blade X2270,Cell OS,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
270,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,52810.0,67379.2,0,0,572.79,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
275,Yale University,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5560 2.8 GHz, Infiniband",United States,2010,5632,52526.3,63078.4,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,None,Cluster,Academic,Benchmarking,Infiniband,Infiniband QDR,North America,Americas
