Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
425,"Center for Computational Science, University of Tsukuba",Hitachi,SR8000-G1/12,Japan,2002,12,150.1,172.8,54000,3000,Hitachi SR8000,Hitachi SR8000,450.0,Hitachi SR8xxx,HI-UX/MPP,MPP,Academic,Not Specified,Crossbar,Multi-dimensional crossbar,Eastern Asia,Asia
427,Tokyo University - Computer Science,Self-made,Sun Blade 1000 750MHz Cluster,Japan,2002,196,149.2,294.0,70560,0,Sparc,UltraSPARC III,750.2,NOW - Sun,Solaris,Cluster,Academic,Not Specified,,,Eastern Asia,Asia
428,Victorian Partnership for Advanced Computing (VPAC),Hewlett-Packard,"AlphaServer SC40, 833 MHz",Australia,2001,128,149.1,213.2,70000,0,Alpha,Alpha EV68,833.3,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,Australia and New Zealand,Oceania
442,University of Manchester,IBM,SP Power3 375 MHz,United Kingdom,2001,144,148.0,216.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Northern Europe,Europe
461,University of British Columbia,IBM,Netfinity Cluster PIII 1 GHz - Myrinet,Canada,2001,256,147.0,256.0,0,0,Intel IA-32,Intel IA-32 Pentium 3,1000.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
464,Simon Fraser University,Self-made,AMD MP 1.2 GHz - Ethernet,Canada,2002,192,144.6,460.8,76120,26800,AMD,AMD,1200.0,NOW - AMD,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,North America,Americas
471,CASPUR,IBM,SP Power3 375 MHz 16 way,Italy,2001,128,138.0,192.0,76000,16000,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Southern Europe,Europe
472,CINECA,IBM,SP Power3 375 MHz 16 way,Italy,2000,128,138.0,192.0,76000,16000,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Southern Europe,Europe
473,SARA (Stichting Academisch Rekencentrum),IBM,SP Power3 375 MHz 16 way,Netherlands,2001,128,138.0,192.0,76000,16000,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
475,University of Victoria,IBM,SP Power3 375 MHz 16 way,Canada,2001,128,138.0,192.0,76000,16000,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
500,University of Maine,Microway,Pentium 3 Cluster 1.0 GHz,United States,2002,208,134.3,208.0,98000,12300,Intel IA-32,Intel IA-32 Pentium 3,1000.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,North America,Americas
