Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
240,193.0,54,193,Santos Dumont (SDumont),"Bull Sequana X1000, Xeon Gold 6252 24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Laboratório Nacional de Computação Científica,Atos,Brazil,2019,Academic,33856,29440.0,1849.0,2727.03,1257024.0,,,,,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,2100,bullx SCS,bullx SCS,NVIDIA Tesla V100 SXM2,24,Xeon Gold 62xx (Cascade Lake),Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand EDR,South America,50576,179704
259,213.0,44,33,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray/HPE,Sweden,2017,Academic,67456,,1802.51,2438.14,3932160.0,,,842.0,Submitted,2.140748219,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Cray Linux Environment ,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,48188,178448
271,,55,271,Greene,"ThinkSystem SR650, Xeon Platinum 8268 24C 2.9GHz, NVIDIA Quadro RTX8000, Infiniband HDR",New York University,Lenovo,United States,2020,Academic,41632,10960.0,1730.59,2846.36,7150464.0,,,,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,Linux,Linux,NVIDIA Quadro RTX8000,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,49783,179851
277,230.0,47,47,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.1,4320000.0,,,1360.8,Submitted,1.266820988,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Europe,47495,178755
280,232.0,53,166,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2019,Academic,40000,,1706.73,2688.0,4462464.0,,,585.0,Submitted,2.917487179,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100,bullx SCS,bullx SCS,None,20,Xeon Gold 62xx (Cascade Lake),Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand HDR100,Europe,47508,179601
283,235.0,52,126,AFI-NITY,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","Tohoku University, Institute of Fluid Science",Fujitsu,Japan,2018,Academic,35200,,1691.0,2703.36,2670000.0,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,48977,179561
284,236.0,52,127,TaiYi,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Southern University of Science and Technology,Lenovo,China,2018,Academic,32400,,1686.54,2488.32,3668352.0,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Asia,50793,179572
288,241.0,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,2160.0,1670.09,2348.64,5439592.0,,39.936,807.6,Submitted,2.067966815,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),HP Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Europe,47634,178534
390,343.0,52,190,Cedar-2,"PowerEdge C6320/C6420, Xeon E5-2683 v4  16C 2.1GHz/Xeon Platinum 8160, Intel Omni-Path",Simon Fraser University/Compute Canada,Dell EMC,Canada,2018,Academic,55296,,1632.96,3715.89,4030464.0,,,601.0,Submitted,2.717071547,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,CentOS,None,16,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179600
401,353.0,53,264,Cygnus,"NEC LX Cluster, Xeon Gold 6126 12C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR100","Center for Computational Sciences, University of Tsukuba",NEC,Japan,2019,Academic,27520,25600.0,1582.0,2399.74,1171968.0,,,,,,Cluster,Xeon Gold 6126 12C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,NEC LX Cluster,NEC Cluster,Infiniband,InfiniBand HDR100,Asia,47529,179688
417,369.0,52,208,TaiYi GPU,"ThinkSystem SD530, Xeon Gold 6140 18C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Southern University of Science and Technology,Lenovo,China,2018,Academic,29400,24000.0,1498.32,2412.54,1697088.0,,,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Linux,Linux,NVIDIA Tesla V100,18,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,50793,179571
421,373.0,54,373,Satori,"IBM Power System AC922, IBM POWER9  20C 2.4GHz, Infiniband EDR, NVIDIA Tesla V100 SXM2","MIT/MGHPCC Holyoke, MA",IBM,United States,2019,Academic,23040,20480.0,1464.0,1739.78,2582016.0,,30.69,94.0,Submitted,15.57446809,Cluster,IBM POWER9  20C 2.4GHz,Power,2400,RHEL 7.6,RHEL 7.6,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Infiniband EDR,North America,50822,179780
423,375.0,45,40,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2015,Academic,76896,52704.0,1457.73,2011.64,2838528.0,,,4806.0,Submitted,0.3033146067,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,CentOS,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,50561,178525
440,392.0,41,116,Palmetto2,"HP SL250s /Lenovo NX360M5, Dell C4130, XL190r/R740 , Xeon 6148G/2665 8C 2.4G/2670v2, FDR, K20m/K40/K20/P100/V100",Clemson University,HPE,United States,2013,Academic,44016,34452.0,1405.0,3553.18,1553664.0,,,,,,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,50100,178083
