Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
222,148.0,34,38,MVS-100K,"Cluster Platform 3000 BL460c/BL 2x220/SL390, Xeon E5450/5365/X5675 4C 3.000GHz, Infiniband DDR, NVIDIA 2090",Joint Supercomputer Center,Hewlett-Packard,Russia,2009,Academic,13004,2432,119930.0,227944.0,52.61,0,0,,,Cluster,Xeon X5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,NVIDIA 2090,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c/BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband DDR,Eastern Europe,Europe
225,149.0,31,10,,Blue Gene/P Solution,IDRIS,IBM,France,2008,Academic,40960,0,119310.0,139264.0,85.67,0,0,315.0,378.76,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Europe,Europe
236,,40,236,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Karlsruher Institut für Technologie (KIT) ,Hewlett-Packard,Germany,2012,Academic,6528,0,115415.0,135782.0,85.0,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Western Europe,Europe
242,159.0,39,159,EMERALD,"Cluster Platform SL390s G7, Xeon E5649 6C 2.530GHz, Infiniband QDR, NVIDIA 2090",Science and Technology Facilities Council - Rutherford Appleton Laboratory,Hewlett-Packard,United Kingdom,2012,Academic,6960,5952,114400.0,257581.0,44.41,494592,0,,,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Northern Europe,Europe
250,,40,250,SuperMike-II,"Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Louisiana State University,Dell,United States,2012,Academic,7040,0,110930.0,146432.0,75.76,1060000,0,200.0,554.65,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Dell PowerEdge C6220,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
253,,40,253,Beacon,"Appro GreenBlade GB824M, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",National Institute for Computational Sciences/University of Tennessee,Appro International,United States,2012,Academic,9216,8640,110500.0,157547.52,70.14,1023840,0,45.11,2449.57,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5,Appro GreenBlade GB824M,Appro Cluster,Infiniband,Infiniband FDR,North America,Americas
268,167.0,38,105,Lattice,"DL170/SL390 , Xeon E5649 2.53GHz/L5520 4C 2.26GHz, Infiniband QDR, NVIDIA 2070",Compute Canada/WestGrid/University of Calgary,Hewlett-Packard,Canada,2011,Academic,13672,2520,108701.0,193514.08,56.17,0,0,,,Cluster,Xeon L5520 4C 2.260GHz,Intel Nehalem,2260,Linux,Linux,NVIDIA 2070,4,Xeon 5500-series (Nehalem-EP),DL170/SL390 ,HP Cluster Platform 3000,Infiniband,Infiniband QDR,North America,Americas
274,169.0,34,39,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at Universitaet Hannover / RRZN,SGI,Germany,2009,Academic,10240,0,107100.0,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
275,170.0,34,40,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,Germany,2009,Academic,10240,0,107100.0,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
277,,40,277,Chundoong,"Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970",Seoul National University,ManyCoreSoft,"Korea, South",2012,Academic,8064,7168,106800.0,226464.0,47.16,825344,0,72.8,1467.03,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,AMD Radeon HD 7970,8,Intel Xeon E5,Chundoong Cluster,Chundoong Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
290,177.0,38,114,,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090",Barcelona Supercomputing Center,Bull SA,Spain,2011,Academic,5544,4032,103200.0,182881.44,56.43,437760,0,81.5,1266.26,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Southern Europe,Europe
293,178.0,32,19,,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband","Computer Network Information Center, Chinese Academy of Science",Lenovo,China,2008,Academic,12216,0,102800.0,145965.0,70.43,1600000,0,,,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Lenovo DeepComp 7000,Lenovo Cluster,Infiniband,Infiniband,Eastern Asia,Asia
299,181.0,34,45,T2K Open Supercomputer (Todai Combined Cluster),Hitachi opteron QC 2.3 GHz Myrinet 10G,"Information Technology Center, The University of Tokyo",Hitachi,Japan,2009,Academic,15104,0,101741.0,138956.0,73.22,1740800,0,831.0,122.43,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Hitachi Cluster,Hitachi Cluster,Myrinet,Myrinet 10G,Eastern Asia,Asia
301,183.0,39,183,,"HA8000-tc/HT225, Opteron 6276 16C 2.300GHz, Infiniband QDR","University of Tokyo/Human Genome Center, IMS",Hitachi,Japan,2012,Academic,16128,0,100600.0,148378.0,67.8,1152000,0,,,Cluster,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",HA8000-tc/HT225,Hitachi Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
303,185.0,37,87,SKIF Aurora,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",South Ural State University,RSC SKIF,Russia,2011,Academic,8832,0,100400.0,117000.0,85.81,1042080,0,,,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SKIF Aurora Platform,NOW - Intel,Infiniband,Infiniband QDR,Eastern Europe,Europe
318,194.0,37,96,Palmetto,"PE1950/SF X2200/iDPx/IBM dx340/HP DL165 Intel 53xx/54xx 2.33, Opteron 2.3, E5410 2.33GHz Myrinet 10G",Clemson University,Dell/Sun/IBM,United States,2011,Academic,13616,0,96920.0,123633.0,78.39,1489400,0,,,Cluster,Xeon E5410 4C 2.333GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Dell/Sun/IBM Cluster,Myrinet,Myrinet 10G,North America,Americas
331,203.0,34,74,,"xSeries iDataPlex, Xeon E5645 6C 2.400GHz, Infiniband",University of Southampton,IBM,United Kingdom,2009,Academic,11088,0,94692.63,106444.8,88.96,0,0,228.22,414.92,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,Northern Europe,Europe
339,,40,339,,"Cluster Platform SL230s/SL250s, Xeon E5-2630 6C 2.300GHz, 10G Ethernet, NVIDIA 2090",Columbia University,Hewlett-Packard,United States,2012,Academic,8640,2304,93430.7,212342.4,44.0,0,0,,,Cluster,Xeon E5-2630 6C 2.300GHz,Intel SandyBridge,2300,Linux,Linux,NVIDIA 2090,6,Intel Xeon E5,Cluster Platform SL230s/SL250s,HP Cluster Platform 3000SL,Gigabit Ethernet,10G Ethernet,North America,Americas
346,211.0,37,97,,"Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband",Tsinghua University,Inspur,China,2011,Academic,9216,0,92420.0,107299.0,86.13,1729280,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
348,,40,348,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Universidad Nacional Autonoma de Mexico,Hewlett-Packard,Mexico,2012,Academic,5616,0,92282.1,116813.0,79.0,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Central America,Americas
360,221.0,39,221,Boomer,"Dell R620/R720, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, NVIDIA 2070",University of Oklahoma,Dell,United States,2012,Academic,6400,504,91620.0,108560.64,84.4,1172264,351624,158.1,579.51,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,NVIDIA 2070,8,Intel Xeon E5,Dell R620/R720,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
364,224.0,39,224,Virgo,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Indian Institute of Technology Madras,IBM,India,2012,Academic,4704,0,91126.0,97843.0,93.13,0,0,97.71,932.62,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,South-central Asia,Asia
374,232.0,39,232,Formosa 5,"Hybrid Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2070",National Center for High Performance Computing,Self-made,Taiwan,2012,Academic,4968,3864,89940.0,155079.0,58.0,989184,0,110.0,817.64,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),Hybrid Cluster,NOW - Intel,Infiniband,Infiniband QDR,Eastern Asia,Asia
389,,40,389,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Miami,IBM,United States,2012,Academic,5056,0,87961.0,105165.0,83.64,0,0,100.49,875.32,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
395,248.0,36,88,,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",iVEC,Hewlett-Packard,Australia,2010,Academic,9600,0,87198.7,107520.0,81.1,0,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
401,,40,401,BGQdev,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Southern Ontario Smart Computing Innovation Consortium/University of Toronto,IBM,Canada,2012,Academic,8192,0,86346.0,104858.0,82.35,434175,0,41.09,2101.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
402,,40,402,BlueRidge,"Appro Xtreme-X Supercomputer, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Virginia Tech,Appro International,United States,2012,Academic,5088,0,86260.0,105830.0,81.51,1483872,741936,127.2,678.14,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
405,256.0,36,90,CHEOPS,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","University of Cologne, Regional Computing Centre",Bull SA,Germany,2010,Academic,9376,0,85900.0,100171.0,85.75,1446480,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Bullx Blade/Supernode,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
428,277.0,39,277,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2090",California institute of Technology,Hewlett-Packard,United States,2012,Academic,6660,2880,83158.0,159919.0,52.0,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
444,291.0,39,291,N8,"Raackable Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Leeds N8,SGI,United Kingdom,2012,Academic,5088,0,81170.8,105830.0,76.7,1487360,0,180.0,450.95,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cell OS,Unix,None,8,Intel Xeon E5,Raackable Cluster,Rackable Cluster,Infiniband,Infiniband QDR,Northern Europe,Europe
447,416.0,39,416,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Chicago,IBM,United States,2012,Academic,4160,0,80588.0,86528.0,93.14,0,0,86.41,932.62,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
457,297.0,38,178,KillDevil,"PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",University of North Carolina,Dell,United States,2011,Academic,8040,0,79800.0,94228.8,84.69,1800000,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,RedHat Enterprise 5,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
460,300.0,39,300,Oakley,"Cluster Platform SL390s G7, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2070",Ohio Supercomputer Center,Hewlett-Packard,United States,2012,Academic,8280,0,79320.0,88099.2,90.03,1859200,0,225.0,352.53,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
465,303.0,33,46,,"Power 575, p6 4.7 GHz, Infiniband",CINECA,IBM,Italy,2009,Academic,5376,0,78680.0,101068.8,77.85,907199,0,859.0,91.59,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Southern Europe,Europe
475,312.0,33,47,T2K Open Supercomputer,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Center for Computational Sciences, University of Tsukuba",Appro International,Japan,2009,Academic,10368,0,77280.0,95385.0,81.02,1562400,0,671.0,115.17,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServers,Appro XtremeServer,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
477,314.0,34,63,Colosse,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",CLUMEQ - Universit Laval,Sun Microsystems,Canada,2009,Academic,7616,0,77170.0,85299.0,90.47,1160376,0,332.0,232.44,Cluster,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,North America,Americas
482,319.0,38,189,Orcinus,"Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR",Compute Canada/WestGrid/University of British Columbia,Hewlett-Packard,Canada,2011,Academic,9600,0,76658.0,106322.0,72.1,0,0,,,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
498,335.0,39,335,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",Slovak Academy of Sciences (SAV),IBM,Slovak Republic,2012,Academic,3072,0,76533.0,94274.0,81.18,0,0,173.36,441.47,MPP,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,Eastern Europe,Europe
499,336.0,33,49,,Cray XT5/XT4 QC 2.3 GHz,CSC (Center for Scientific Computing),Cray Inc.,Finland,2009,Academic,10864,0,76510.0,101996.8,75.01,0,0,520.0,147.13,MPP,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,CNL,Linux,None,4,Opteron Quad Core,Cray XT5 QuadCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,Northern Europe,Europe
