Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
386,,40,386,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider (B),Hewlett-Packard,India,2012,Industry,8080,0,88542.8,168064.0,52.68,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia
387,242.0,39,242,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",IT Provider (P),Hewlett-Packard,United States,2012,Industry,8064,0,88373.0,167731.0,52.69,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,241.0,39,241,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Gigabit Ethernet",IT Provider (P),Hewlett-Packard,United States,2012,Industry,8064,0,88373.0,167731.0,52.69,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
390,243.0,37,104,,"Cluster Platform 3000 DL165, Opteron 2.1 GHz 12C, GigE",Financial Services Company (G),Hewlett-Packard,United States,2011,Industry,20784,0,87542.8,174585.6,50.14,0,0,,,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",HP DL165 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
391,244.0,35,63,Layon,Bull bullx super-node S6010/S6030,Bull,Bull SA,France,2010,Vendor,11520,0,87470.0,104602.0,83.62,1643136,0,,,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
392,245.0,36,87,Curie fat nodes,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband",CEA/TGCC-GENCI,Bull SA,France,2010,Research,11520,0,87470.0,104417.0,83.77,1643136,0,108.8,803.95,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
393,246.0,37,129,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband",Energy Company (A),IBM,Italy,2011,Industry,10224,0,87438.39,109028.74,80.2,0,0,335.48,260.64,Cluster,Xeon X5550 4C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
394,247.0,36,213,,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",Telecommunication Company,IBM,China,2010,Industry,15504,0,87365.0,156900.48,55.68,0,0,490.18,178.23,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
396,249.0,38,152,,"HP DL160 Cluster G6, Xeon E5640 4C 2.67 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,16020,0,87095.0,170453.0,51.1,0,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,None,4,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
397,250.0,39,250,,"Cluster Platform 4000 BL685c G7, Opteron 6276 16C 2.30GHz, Gigabit Ethernet",Logistic Services,Hewlett-Packard,United States,2012,Industry,18688,0,86931.73,171930.0,50.56,0,0,,,Cluster,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
