Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
267,,"Atipa Cluster, Xeon X56xx (Westmere-EP) 2.66 GHz, Infiniband QDR",Knolls Atomic Power Laboratory,Atipa Technology,United States,2011,Research,6864,0,66670.0,73230.0,91.04,1727544,270000,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,SUSE Linux Enterprise Server 11,Linux,None,6,Xeon X56xx (Westmere-EP),Atipa Cluster,Atipa Cluster,Infiniband,Infiniband QDR,North America,Americas
268,Columbia,"SGI Altix 1.5/1.6/1.66 GHz, Voltaire Infiniband",NASA/Ames Research Center/NAS,SGI,United States,2008,Research,13824,0,66567.0,82944.0,80.26,1478736,0,,,MPP,Itanium2 Montecito Dual Core 2C 1.60GHz,Intel IA-64,1600,Linux,Linux,None,2,Itanium2 Montecito Dual Core,SGI Altix 3700,SGI Altix,Mixed Network,Numalink/Infiniband,North America,Americas
269,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,10864,0,66371.5,127326.1,52.13,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
270,,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Logistics,IBM,Germany,2011,Industry,11728,0,66345.23,118687.36,55.9,0,0,370.79,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
271,,"HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE",Web Content Provider,Hewlett-Packard,United States,2011,Industry,12640,0,66225.1,127916.8,51.77,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
272,,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,11988,0,66202.7,127552.3,51.9,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
273,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, 10G Ethernet",Government,Hewlett-Packard,United States,2011,Government,8448,0,66066.7,89887.0,73.5,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
274,,"BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Netwok Equipment Provider,IBM,Germany,2011,Industry,11700,0,65930.0,124488.0,52.96,0,0,312.56,210.94,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
275,,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.2 Ghz, GigE",IT Service Provider,Hewlett-Packard,United Kingdom,2011,Industry,14556,0,65825.4,128092.8,51.39,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
276,,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband",Classified,IBM,United States,2011,Classified,8496,0,65780.0,76803.84,85.65,0,0,184.03,357.44,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
277,,"Cluster Platform 4000 BL465c G7, Opteron O6174 12C 2.20 GHz, Gigabit Ethernet","Carrillo Business Technologies, Inc",Hewlett-Packard,United States,2011,Industry,14544,0,65774.0,127987.2,51.39,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
