Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
87,70.0,63,70,kakaocloud,"SP7-2608WG Cluster, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 80GB, Infiniband HDR200, Ubuntu 22.04.3 LTS",Kakao Enterprise,eSlim Korea,South Korea,2024,Industry,115072,107136.0,15940.0,17815.13,3096185.0,,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,2600,Ubuntu 22.04.3 LTS,Linux,NVIDIA A100 80GB,32,Xeon Platinum 83xx (Ice Lake),SP7-2608WG Cluster,eSlim Cluster,Infiniband,Infiniband HDR200,Asia,51009,180292
88,72.0,63,72,Virga,"PowerEdge XE9640, Xeon Platinum 8452Y 36C 2GHz, Nvidia H100 94Gb SXM5, Infiniband NDR",Commonwealth Scientific and Industrial Research Organisation (CSIRO),DELL,Australia,2024,Government,60000,52800.0,14940.0,18460.8,2160000.0,,,,,,,Cluster,Xeon Platinum 8452Y 36C 2GHz,Intel Sapphire Rapids,2000,SUSE Linux,Linux,Nvidia H100 SXM5 94Gb,36,Xeon Platinum (Sapphire Rapids),PowerEdge XE9640,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,Oceania,50320,180294
90,,64,90,ASPIRE 2A+,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR, Ubuntu 22.04",National Supercomputing Centre Singapore,Nvidia,Singapore,2024,Research,46720,42240.0,14200.0,21726.72,1707776.0,,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,2000,Ubuntu 22.04,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR,Asia,50631,180325
91,75.0,51,11,Nurion,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Korea Institute of Science and Technology Information,HPE,South Korea,2018,Research,570020,,13929.3,25705.9,10076976.0,,391.453,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,CentOS,Linux,None,68,Intel Xeon Phi,Cray CS500,Cray CS,Omnipath,Intel Omni-Path,Asia,50770,179421
92,,64,92,THE CRUST 2.5,"HPE Cray XD665, AMD EPYC 9354 32C 3.25GHz, Nvidia H100 SXM5 94Gb, Infiniband NDR400, RHEL 8.9",PTT Exploration and Production Public Company Limited,HPE,Thailand,2024,Industry,47360,42240.0,13850.0,21676.8,1918976.0,,,,,,,Cluster,AMD EPYC 9354 32C 3.25GHz,AMD Zen-4 (Genoa),3250,RHEL 8.9,Linux,Nvidia H100 SXM5 94Gb,32,AMD Zen-4 (Genoa),HPE Cray XD665,HPE Cray XD,Infiniband,Infiniband NDR400,Asia,51049,180321
94,,64,94,Snellius Phase 3 GPU,"ThinkSystem SD665-N V3, AMD EPYC 9334 32C 2.7GHz, Nvidia H100 SXM5 94Gb, Infiniband HDR200, RHEL 9.2",SURF,Lenovo,Netherlands,2024,Research,52096,46464.0,13640.0,21661.0,1879040.0,,116.369,295.67,Submitted,46.1325126,,Cluster,AMD EPYC 9334 32C 2.7GHz,AMD Zen-4 (Genoa),2700,RHEL 9.2,Linux,Nvidia H100 SXM5 94Gb,32,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband HDR200,Europe,50900,180316
95,77.0,61,50,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Meteorological Agency,Fujitsu,Japan,2022,Research,221184,,13367.0,15571.35,3809280.0,,461.312,904.72,Submitted,14.77473694,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,48169,180168
96,78.0,61,51,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Meteorological Agency,Fujitsu,Japan,2022,Research,221184,,13367.0,15571.35,3809280.0,,461.312,904.72,Submitted,14.77473694,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,48169,180169
97,,64,97,NHN CLOUD GWANGJU AI,"PowerEdge XE9680, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 80GB, Infiniband NDR, Ubuntu 22.04.3 LTS",NHN CLOUD Corporation,DELL,South Korea,2023,Industry,43776,40128.0,12840.0,20582.75,1703936.0,,,,,,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,2100,Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 80GB,48,Xeon Platinum (Sapphire Rapids),PowerEdge XE9680,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,Asia,51028,180341
98,79.0,58,40,Lyapunov,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",Yandex,"NVIDIA, Inspur",Russia,2020,Industry,130944,114048.0,12810.0,20029.19,2315808.0,,,,,,,Cluster,AMD EPYC 7662 64C 2GHz,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-2 (Rome),Inspur NF5488A5,Inspur Cluster,Infiniband,Infiniband,Europe,50862,180030
