Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
405,Universitaet Mannheim,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,1120,9591.67,12678.4,0,0,45.01,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
406,Universitaet Tuebingen,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,1120,9591.67,12678.4,0,0,45.01,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
411,Harvard University,IBM,eServer Blue Gene Solution,United States,2006,4096,9433.0,11468.8,331775,0,44.8,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
416,Renaissance Computing Institute (RENCI),IBM,eServer Blue Gene Solution,United States,2007,4096,9433.0,11468.8,331775,0,44.8,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,North America,Americas
417,University of Canterbury,IBM,eServer Blue Gene Solution,New Zealand,2007,4096,9433.0,11468.8,331775,0,44.8,Power,PowerPC 440,700,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Australia and New Zealand,Oceania
431,Scientific Supercomputing Center Karlsruhe,IBM,"xSeries x3550 Cluster Xeon QC HT, 2.66 GHz, GigEthernet",Germany,2008,1920,9287.0,20474.9,0,0,74.19,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,IBM Cluster,xSeries x3550 Cluster Xeon quad core,Linux,Cluster,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
467,Near East University,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Cyprus,2007,1280,9243.89,11945.0,0,0,51.44,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Asia,Asia
473,UCSD/San Diego Supercomputer Center,IBM,eServer pSeries 655/690 (1.5/1.7 GHz Power4+),United States,2005,2464,9121.0,15628.0,605000,59000,0.0,Power,POWER4+,1500,IBM pSeries,pSeries 655+,AIX,MPP,Academic,Not Specified,SP Switch,Federation,North America,Americas
474,"University of Warwick, Centre for Scientific Computing",IBM,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",United Kingdom,2007,960,9058.0,11520.0,0,0,91.55,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
484,Tomsk State University,T-Platforms,"Xeon Cluster, QLogic InfiniPath",Russia,2007,1128,9010.0,12002.0,338400,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,T-Platforms Cluster,T-Platforms Cluster,SUSE Linux Enterprise Server 10,Cluster,Academic,Not Specified,Infiniband,InfiniPath,Eastern Europe,Europe
